SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013100115,2013-03-10 10:01:15,2013-03-10 10:03:15,2,29,Male,False,
10032013100115,2013-03-10 10:01:15,2013-03-10 10:03:15,2,1861,Female,False,
10032013100315,2013-03-10 10:03:15,2013-03-10 10:05:15,2,29,Unknown,False,
10032013100315,2013-03-10 10:03:15,2013-03-10 10:05:15,2,1861,Male,False,
10032013100515,2013-03-10 10:05:15,2013-03-10 10:07:15,3,29,Unknown,False,
10032013100515,2013-03-10 10:05:15,2013-03-10 10:07:15,3,1861,Unknown,False,
10032013100515,2013-03-10 10:05:15,2013-03-10 10:07:15,3,1885,Unknown,False,
