SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013044149,2013-03-10 16:41:33,2013-03-10 16:43:33,2,3,Male,False,
10032013044149,2013-03-10 16:41:33,2013-03-10 16:43:33,2,93,Unknown,False,
10032013044333,2013-03-10 16:43:33,2013-03-10 16:45:33,2,3,Unknown,False,
10032013044333,2013-03-10 16:43:33,2013-03-10 16:45:33,2,93,Unknown,False,
10032013044533,2013-03-10 16:45:33,2013-03-10 16:47:33,3,3,Female,False,
10032013044533,2013-03-10 16:45:33,2013-03-10 16:47:33,3,93,Unknown,False,
10032013044533,2013-03-10 16:45:33,2013-03-10 16:47:33,3,133,Male,False,
