SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013062902,2013-03-10 18:28:55,2013-03-10 18:30:55,1,3,Male,False,
10032013063055,2013-03-10 18:30:55,2013-03-10 18:32:55,2,3,Male,False,
10032013063055,2013-03-10 18:30:55,2013-03-10 18:32:55,2,3063,Unknown,False,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,3,Male,False,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,3063,Unknown,False,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,4341,Unknown,False,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,4370,Unknown,True,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,4512,Unknown,False,
10032013063259,2013-03-10 18:32:55,2013-03-10 18:34:55,6,4571,Unknown,False,
