SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013093722,2013-03-10 09:37:15,2013-03-10 09:39:15,2,29,Male,False,
10032013093722,2013-03-10 09:37:15,2013-03-10 09:39:15,2,1861,Unknown,False,
10032013093915,2013-03-10 09:39:15,2013-03-10 09:41:15,3,29,Male,False,
10032013093915,2013-03-10 09:39:15,2013-03-10 09:41:15,3,1861,Male,False,
10032013093915,2013-03-10 09:39:15,2013-03-10 09:41:15,3,1862,Unknown,False,
10032013094115,2013-03-10 09:41:15,2013-03-10 09:43:15,2,29,Male,False,
10032013094115,2013-03-10 09:41:15,2013-03-10 09:43:15,2,1861,Male,False,
