SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
11032013093708,2013-03-11 09:37:08,2013-03-11 09:39:08,1,473,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,804,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,805,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,810,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,1036,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,1969,Male,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,1986,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,2047,Unknown,False,
11032013093908,2013-03-11 09:39:08,2013-03-11 09:41:08,8,2140,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2140,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2510,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2594,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2681,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2687,Unknown,True,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2922,Unknown,True,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2928,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2930,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2932,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,2933,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3189,Unknown,True,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3205,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3214,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3320,Male,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3321,Unknown,False,
11032013094108,2013-03-11 09:41:08,2013-03-11 09:43:08,16,3578,Unknown,True,
