SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013044734,2013-03-10 16:47:33,2013-03-10 16:49:33,4,93,Male,False,
10032013044734,2013-03-10 16:47:33,2013-03-10 16:49:33,4,234,Unknown,False,
10032013044734,2013-03-10 16:47:33,2013-03-10 16:49:33,4,254,Male,False,
10032013044734,2013-03-10 16:47:33,2013-03-10 16:49:33,4,290,Male,False,
10032013044933,2013-03-10 16:49:33,2013-03-10 16:51:33,2,254,Male,False,
10032013044933,2013-03-10 16:49:33,2013-03-10 16:51:33,2,290,Male,False,
10032013045133,2013-03-10 16:51:33,2013-03-10 16:53:34,2,254,Male,False,
10032013045133,2013-03-10 16:51:33,2013-03-10 16:53:34,2,290,Unknown,False,
