SessionID,Start Time,End Time,Is User Sleeping,Is User Distracted,
20022013050721,2013-02-20 17:07:13,2013-02-20 17:09:13,False,False,
20022013050721,2013-02-20 17:07:13,2013-02-20 17:09:13,False,True,
20022013050721,2013-02-20 17:07:13,2013-02-20 17:09:13,False,False,
20022013050913,2013-02-20 17:09:13,2013-02-20 17:11:13,False,False,
20022013050913,2013-02-20 17:09:13,2013-02-20 17:11:13,False,False,
20022013050913,2013-02-20 17:09:13,2013-02-20 17:11:13,False,False,
20022013051113,2013-02-20 17:11:13,2013-02-20 17:13:13,False,False,
20022013051113,2013-02-20 17:11:13,2013-02-20 17:13:13,False,True,
20022013051113,2013-02-20 17:11:13,2013-02-20 17:13:13,False,False,
20022013051113,2013-02-20 17:11:13,2013-02-20 17:13:13,False,False,
