SessionID,Start Time,End Time,# of Users,User ID,Gender,Is Child,
10032013110449,2013-03-10 11:04:42,2013-03-10 11:06:42,4,2,Male,False,
10032013110449,2013-03-10 11:04:42,2013-03-10 11:06:42,4,12,Male,False,
10032013110449,2013-03-10 11:04:42,2013-03-10 11:06:42,4,17,Unknown,False,
10032013110449,2013-03-10 11:04:42,2013-03-10 11:06:42,4,23,Unknown,False,
10032013110644,2013-03-10 11:06:42,2013-03-10 11:08:42,2,23,Unknown,False,
10032013110644,2013-03-10 11:06:42,2013-03-10 11:08:42,2,30,Male,False,
10032013110842,2013-03-10 11:08:42,2013-03-10 11:10:42,1,35,Unknown,False,
